id,submitted_date,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
46,08/03/2021,Male,Malay,19,SGR,SRC,PUCHONG,Y-Y15ZR,11690,1169,48,1200,1083.55,0,307,10521,0,,0,0.9,rejected
47,06/03/2021,Male,Malay,39,PRK,SRC,PUCHONG,Y-135LC AC,9270,927,48,3877,3343.55,0,244,8343,0,,0,0.9,stockout
48,06/03/2021,Female,Malay,29,SBH,SRC,PUCHONG,H-VARIO150R,9950,1000,36,4840,4189.1,140,324,8950,0.1106,3725.91,0,0.8995,approved
49,08/03/2021,Female,Malay,21,NSN,SRC,PUCHONG,Y-135LC AC,9270,930,48,1338,1119.32,0,244,8340,0,,0,0.8997,rejected
50,10/03/2021,Female,Malay,24,NSN,SRC,PUCHONG,H-VARIO150R,9950,1000,48,1284.55,1167.8,0,262,8950,0.2235,906.76,0,0.8995,approved
51,15/03/2021,Male,Malay,18,KTN,TRD,PUCHONG,Y-135LC AC,9270,930,48,1700,1699,0,244,8340,0,,0,0.8997,rejected
52,14/03/2021,Female,Malay,26,SGR,GOODS,PUCHONG,Y-135LC AC,9270,927,48,2500,2240.85,0,244,8343,0,,0,0.9,reverted
53,14/03/2021,Male,Malay,35,KTN,SRC,PUCHONG,H-BEAT(ACH110),7500,750,48,3029,2377,0,197,6750,0,,0,0.9,stockout
54,14/03/2021,Female,Malay,41,SGR,MNC,PUCHONG,H-VARIO150R,9950,1000,48,3005,2789,0,262,8950,0,,0,0.8995,stockout
55,15/03/2021,Male,Malay,21,KDH,F&B,PUCHONG,Y-EGOAV,7630,1000,48,2008.43,1470.83,0,194,6630,0.1315,1277.46,0,0.8689,stockout
56,15/03/2021,Male,Malay,22,SGR,SRC,PUCHONG,H-RS150R TRICO,11070,1110,48,1400,1092.8,0,291,9960,0.2658,802.3,0,0.8997,rejected
57,15/03/2021,Male,Malay,19,PHG,F&B,PUCHONG,Y-135LC AC,9270,2000,36,1831.02,1677.37,0,263,7270,0.1565,1414.84,0,0.7843,archived
58,16/03/2021,Female,Malay,29,TRG,BKFN,SUBANG,H-WAVEAL,6260,630,36,1900,1716.05,403,204,5634,0.3534,1109.6,0,0.9,approved
59,16/03/2021,Male,Malay,43,PRK,SALE,S.BULOH,Y-135LC AC,9270,930,48,2548,2241.15,1702.85,244,8340,0.8683,295.05,0,0.8997,rejected
60,16/03/2021,Male,Malay,18,KUL,SRC,S.BULOH,Y-135LC AC,9270,930,48,1770,1055,0,244,8340,0.2306,811.75,0,0.8997,stockout
61,16/03/2021,Male,Malay,18,SGR,F&B,S.BULOH,Y-135LC AC,9270,927,48,1328.51,1234.22,0,244,8343,0.1972,990.88,0,0.9,rejected
62,22/03/2021,Female,Malay,48,KUL,MNC,S.BULOH,Y-MT15,15050,1505,48,2700,2384,0,396,13545,0,,0,0.9,rejected
63,18/03/2021,Male,Indian,38,KUL,TRD,PUCHONG,Y-135LC AC,9270,930,36,3330,2979.35,198,302,8340,0.1675,2480.18,0,0.8997,approved
64,17/03/2021,Male,Malay,19,PRK,OTH,S.BULOH,Y-Y15ZR,11690,1690,36,3540,3055,0,362,10000,0.1182,2693.89,0,0.8554,rejected
65,22/03/2021,Male,Malay,21,KTN,OTH,SUBANG,H-RS150RR,12070,1207,48,1300,1111.73,0,317,10863,0.285,794.89,0,0.9,stockout
66,17/03/2021,Female,Malay,24,KUL,HLTH,PUCHONG,Y-115Z(UE15),7610,770,48,2300,1303.9,0,200,6840,0.153,1104.4,0,0.8988,archived
67,17/03/2021,Female,Malay,21,KUL,TRD,PUCHONG,Y-EGOAV,7630,770,48,1255.5,1004.4,0,221,7553,0.2193,784.1,0,0.9899,approved
68,17/03/2021,Male,Malay,18,SGR,OTH,SUBANG,Y-Y15ZR,11690,1690,36,1688,1452,0,362,10000,0.2487,1090.89,0,0.8554,stockout
69,19/03/2021,Male,Malay,20,SWK,SRC,SUBANG,H-RS150R TRICO,11070,1110,36,2515.38,2389.53,0,360,9960,0.1505,2029.86,0,0.8997,stockout
70,17/03/2021,Male,Malay,26,KTN,ENGI,SUBANG,H-RS150R TRICO,11070,1107,36,2300,2158.75,115,360,9963,0.2199,1683.98,0,0.9,rejected
71,17/03/2021,Male,Malay,19,PRK,MNC,SUBANG,Y-Y15ZR,11690,1169,48,2046.6,1901.23,0,307,10521,0.1614,1594.37,0,0.9,archived
72,17/03/2021,Male,Malay,26,PHG,MNC,SUBANG,H-RS150RR,12070,1207,48,2548.72,2303.97,0,317,10863,0,,0,0.9,rejected
73,17/03/2021,Male,Malay,55,JHR,MNC,SUBANG,H-RS150RR,12070,1207,48,1865,1643,648,317,10863,0.5872,678.16,0,0.9,cancelled
74,17/03/2021,Male,Malay,21,SGR,MNC,PUCHONG,Y-Y15ZR,11690,1500,48,1500,1480.05,0,298,10190,0.2008,1182.84,0,0.8717,rejected
75,17/03/2021,Male,Indian,42,PRK,SRC,SUBANG,H-RS150R TRICO,11070,2300,48,4000,3090,0,256,8770,0.0828,2834.21,0,0.7922,rejected
76,17/03/2021,Male,Malay,32,KTN,OTH,SUBANG,Y-Y15ZR,11690,1169,48,2190.44,2109.99,471,307,10521,0.3687,1332.13,0,0.9,approved
77,17/03/2021,Male,Malay,41,TRG,MNC,SUBANG,H-VARIO150,9750,975,24,4684,4086.98,1530,439,8775,0.4817,2118.23,0,0.9,stockout
78,17/03/2021,Male,Malay,42,KUL,MNC,SUBANG,Y-Y15ZR,11690,1169,36,1300,1144.25,0,380,10521,0.332,764.33,0,0.9,rejected
