id,Date,Dealer,Gender,Race,Age,State,Segment,branch,model,SalePrice,Deposit,Tenure,GrossIncome,NetIncome,Commitment,Instalment,FinancingAmount,DSR,DI,iScore,MOF,Status
2165,29/08/2021,GTM,Male,Malay,41,JHR,MNC,SUBANG,H-DASHR152,8350,840,36,1800,1500,0,272,7510,0,,0,0.8994,cancelled
3060,18/08/2021,TRC,Male,Malay,25,SWK,OTH,CHERAS,Y-EGOAV,7730,1500,48,2441.32,221.57,0,182,6230,0,,5,0.806,rejected
3880,25/08/2021,GTM,Male,Malay,26,SGR,ENGI,MERU,Y-135LC AC,9290,950,36,1400,1200,99,302,8340,0.3335,799.83,7,0.8977,stockout
3933,17/08/2021,GTM,Female,Malay,28,KUL,TRD,S.UTAMA,Y-115Z(UE15),7610,770,48,1200,961,0,200,6840,0.2076,761.5,6,0.8988,approved
3937,04/08/2021,GTM,Male,Malay,36,MLK,GIG,SA,Y-135LC AC,9270,930,36,2500,2000,0,302,8340,0,,8,0.8997,reverted
4133,01/08/2021,GTM,Male,Malay,19,MLK,GIG,SA,H-RS150R TRICO,11070,1110,48,2104,2000,0,291,9960,0,,4,0.8997,cancelled
4134,04/08/2021,GTM,Female,Malay,19,SGR,OTH,K.SELANGOR,Y-115Z(UE15),7610,770,36,1050,1000,0,247,6840,0.247,753,0,0.8988,reverted
4139,08/08/2021,GTM,Male,Malay,37,KUL,SRC,SENTUL,H-DASHR152,8370,840,48,3889,2812,434,220,7530,0.2324,2158.38,7,0.8996,approved
4151,20/08/2021,GTM,Male,Malay,31,SGR,SRC,MERU,Y-Y15ZR,11710,1710,36,3020.05,2273,0,362,10000,0,,3,0.854,rejected
4162,25/08/2021,GTM,Male,Indian,40,KUL,SRC,SENTUL,Y-EGOAV,7650,2000,24,2600,2296.15,0,283,5650,0.123,2013.65,4,0.7386,approved
4186,03/08/2021,GTM,Male,Malay,35,SGR,MNC,T.PULAI,Y-115Z(UE15),7610,770,48,30000,2800,0,200,6840,0,,3,0.8988,rejected
4187,18/08/2021,GTM,Female,Malay,30,SGR,HR,K.SELANGOR,H-RS150RR,12070,1210,36,1500,1399,469,393,10860,0.6156,537.83,8,0.8998,archived
4216,03/08/2021,GTM,Female,Indian,22,SGR,HLTH,PANGLIMA,Y-Y15ZR,11690,1690,48,1200,1050,0,292,10000,0.2778,758.33,5,0.8554,rejected
4246,12/08/2021,GTM,Female,Indian,22,PNG,EDU,KAPAR,Y-115Z(UE15),7630,770,48,2165.55,1800,0,201,6860,0,,0,0.8991,rejected
4250,01/08/2021,GTM,Female,Indian,23,PNG,SRC,PUCHONG,H-RS150R TRICO,11070,1110,48,1329,1063,0,291,9960,0.2733,772.5,0,0.8997,rejected
4251,02/08/2021,GTM,Female,Malay,26,SBH,SRC,SRI KBGAN,Y-135LC AC,9270,930,48,1997,1446,0,244,8340,0.1682,1202.75,0,0.8997,approved
4257,01/08/2021,GTM,Male,Indian,19,SGR,MNC,SA,Y-135LC AC,9270,1000,24,2800,2500,0,414,8270,0,,0,0.8921,rejected
4267,04/08/2021,GTM,Male,Malay,19,PRK,SRC,K.SELANGOR,H-RS150R TRICO,11070,1110,36,2050,1483,0,360,9960,0,,5,0.8997,reverted
4271,03/08/2021,GTM,Male,Malay,36,KTN,MNC,T.PULAI,Y-Y16ZR,13600,2000,48,30000,2800,0,339,11600,0,,3,0.8529,rejected
4273,01/08/2021,GTM,Male,Malay,24,TRG,SRC,S.BULOH,H-DASHR152,8350,1090,36,1345,1213,0,263,7260,0,,3,0.8695,cancelled
4274,01/08/2021,GTM,Male,Malay,42,KTN,MNC,SS,H-DASHRREPSOL,8550,860,48,2000,1900,0,225,7690,0,,3,0.8994,rejected
4275,04/08/2021,GTM,Male,Malay,28,PRK,SRC,S.BULOH,H-DASHR152,8350,840,48,1640,1140,0,220,7510,0.1921,920.96,6,0.8994,stockout
4276,01/08/2021,GTM,Male,Malay,22,SGR,F&B,R.PANJANG,H-DASHRREPSOL,8550,860,36,1532.97,1394.12,0,278,7690,0,,2,0.8994,rejected
4277,01/08/2021,GTM,Male,Malay,26,KUL,F&B,SS,H-DASHS125,8030,810,36,1500,1357.75,0,261,7220,0,,0,0.8991,rejected
4278,02/08/2021,GTM,Male,Malay,23,SGR,SRC,SUBANG,Y-Y15ZR,11690,3000,48,1724,1554,0,254,8690,0.1631,1300.54,0,0.7434,archived
4279,05/08/2021,GTM,Male,Malay,46,SBH,MNC,SA,Y-Y15ZR,11690,1690,36,1757,1405,270,362,10000,0.4492,773.89,9,0.8554,approved
4280,01/08/2021,GTM,Male,Indian,18,SGR,MNC,SS,Y-Y15ZR,11690,2000,48,1575,1352,0,283,9690,0.209,1069.38,0,0.8289,rejected
4281,01/08/2021,GTM,Male,Malay,36,SGR,SALE,S.UTAMA,H-RS150R TRICO,11070,1110,48,4000,3815.58,0,291,9960,0,,4,0.8997,rejected
4282,01/08/2021,GTM,Male,Malay,30,KUL,MNC,PANGLIMA,Y-NMAX,11500,5000,48,3399,3001.55,0,190,6500,0,,4,0.5652,rejected
4284,01/08/2021,GTM,Male,Malay,56,SGR,SRC,S.BULOH,H-VARIO150,9750,980,48,6103,3343,0,256,8770,0,,4,0.8995,rejected
4285,02/08/2021,GTM,Female,Indian,49,PRK,O&G,S.UTAMA,Y-135LC AC,9270,930,48,1100,997,0,244,8340,0,,4,0.8997,rejected
4286,02/08/2021,GTM,Female,Malay,21,KTN,SRC,S.UTAMA,H-VARIO150,9750,980,48,1699,1472,0,256,8770,0.1738,1216.21,0,0.8995,reverted
4287,02/08/2021,GTM,Male,Malay,24,JHR,SRC,K.LAMA,H-RS150R TRICO,11070,1110,48,1333,1218,0,291,9960,0.2385,927.5,0,0.8997,rejected
4288,02/08/2021,GTM,Female,Malay,25,PRK,MNC,S.UTAMA,H-DASHRREPSOL,8550,860,48,1645,1450,613,225,7690,0.5774,612.71,0,0.8994,stockout
4289,03/08/2021,GTM,Male,Malay,19,KTN,MNC,T.PULAI,Y-Y15ZR,11690,1690,48,2000,1600,0,292,10000,0.1823,1308.33,0,0.8554,rejected
4290,02/08/2021,GTM,Male,Malay,23,SWK,SRC,K.LAMA,Y-135LC AC,9270,930,48,1444,1149,0,244,8340,0,,2,0.8997,rejected
4291,02/08/2021,GTM,Male,Indian,38,SGR,OTH,ONLINE SALES,H-DASHRREPSOL,8550,860,24,6570,5516,0,385,7690,0,,5,0.8994,rejected
4292,02/08/2021,GTM,Female,Malay,27,SGR,MNC,K.SELANGOR,Y-Y15ZR,11690,1700,48,2500,2250,496,292,9990,0.3499,1462.63,8,0.8546,stockout
4293,02/08/2021,GTM,Male,Malay,29,KUL,MNC,SA,Y-135LC AC,9270,930,48,2600,2300,670,244,8340,0.3971,1386.75,7,0.8997,stockout
